Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,injuries,dead,Victims,Vehicle Involved,Latitude,Longitude,Vehicle Type,Year
214,Mymensingh, trishal_upazila, dhaka_mymensingh_highway,Wednesday,March,7,11,Morning,0,1,1,1,24.273184,90.394795,others,2018
215,Thakurgaon, pirganj_upazila, pirgank_katihar_road,Wednesday,March,7,10,Morning,3,2,5,1,25.845012,88.36467,three_wheeler,2018
216,Thakurgaon, boda_upazila, boda_marea_road,Wednesday,March,7,14,Afternoon,0,1,1,1,26.20481,88.557466,bus,2018
217,Natore,,,Wednesday,March,7,16,Afternoon,0,1,1,2,24.411555,88.971814,truck_cycle,2018
218,Chittagong,,,Wednesday,March,7,17,Afternoon,0,1,1,2,22.363073,91.784847,truck_cycle,2018
219,Manikganj,joka_ghior_upazila,,Wednesday,March,14,13,Afternoon,20,1,21,1,23.871797,89.98184,bus,2018
220,Mymensingh, trishal_upazila, dhaka_mymensingh_highway,Wednesday,March,14,12,Morning,0,2,2,2,24.579129,90.39525,bus_car,2018
221,Feni,,barahipur_rail_crossing,Wednesday,March,21,4,Morning,2,4,6,2,23.026855,91.384439,others,2018
222,Jamalpur,baksiganj_upazila,,Friday,March,23,5,Morning,0,1,1,1,25.182524,89.870138,truck,2018
223,Mymensingh, ishwarganj_upazila, mymensing_kishoreganj_road,Friday,March,23,10,Morning,1,1,2,1,24.450026,90.777502,rickshaw,2018
224,Chittagong,port_city, badamoti_intersection,Saturday,March,24,6,Morning,0,1,1,1,22.360651,91.794992,others,2018
225,Chittagong,sitakunda_upazila,,Saturday,March,24,18,Evening,6,1,7,2,22.616452,91.678189,truck,2018
226,Manikganj,khalpar_manikganj_town,,Saturday,March,24,13,Afternoon,0,1,1,1,23.860162,90.000653,rickshaw,2018
227,Dinajpur,phulbari_upazila,,Friday,March,23,22,Night,20,0,20,1,25.503907,88.94175,bus,2018
228,Faridpur,,dhaka_khulna_highway,Saturday,March,24,4,Morning,0,1,1,1,23.29411,89.818055,truck,2018
229,Jessore,sharsha_upazila, navaron_satkhira_highway,Sunday,March,25,17,Afternoon,7,3,10,2,23.061306,89.010591,truck_three_wheeler,2018
230,Dhaka,shahbag,,Monday,March,26,5,Morning,3,0,3,2,23.738387,90.393873,truck_van,2018
231,Chittagong,natunbazar_area,,Tuesday,March,27,12,Morning,0,3,3,2,22.343961,91.789315,three_wheeler_rickshaw,2018
232,Chittagong,sitakunda,bhatiari_area_roadside,Tuesday,March,27,10,Morning,0,1,1,2,22.613097,91.661701,others,2018
233,Chittagong,chandanaish_upazila,,Tuesday,March,27,24,Night,0,1,1,1,22.245846,92.017729,truck,2018
234,Manikganj,singair_upazila,,Tuesday,March,27,4,Morning,0,1,1,2,23.81093,90.066293,others,2018
235,Manikganj,manikganj_municipality_area,,Tuesday,March,27,15,Afternoon,0,1,1,1,23.869352,89.993677,rickshaw,2018
236,Manikganj,bewtha_bridge,,Tuesday,March,27,18,Evening,4,0,4,1,23.853113,90.001344,others,2018
237,Comilla,chouddagram_upazila,,Tuesday,March,27,5,Morning,0,2,2,2,23.428889,91.187721,truck,2018
238,Pirojpur,sadar_upazilla, kumarkhli_road,Tuesday,March,27,19,Evening,0,1,1,1,23.861818,89.243275,cycle,2018
239,Mymensingh,,dhaka_mymensingh_highway,Thursday,March,29,24,Night,10,1,11,2,24.711307,90.410602,bus_truck,2018
240,Dinajpur,khansama_upazila,,Thursday,March,29,12,Morning,0,1,1,2,25.925608,88.72844,cycle,2018
241,Dinajpur,phulbari_upazila,,Wednesday,March,28,10,Morning,0,1,1,1,25.503559,88.942609,three_wheeler,2018
242,Habiganj,nabinagar_upazila,,Thursday,March,29,15,Afternoon,0,1,1,1,23.88922,90.98362,bus,2018
243,Sylhet,golapganj_upazila,,Thursday,March,29,11,Morning,40,0,40,1,23.015477,89.843796,bus,2018
244,Bandarban,balaghata,,Saturday,March,31,19,Evening,2,1,3,2,22.202891,92.219195,bus_cycle,2018
245,Bandarban,laimipara,,Saturday,March,31,15,Afternoon,9,0,9,1,22.156383,92.215373,bus,2018
246,ChapaiNawabganj,enayetpur_gomostapur_upazila,,Saturday,March,31,8,Morning,0,1,1,1,24.845088,88.399786,bus,2018
247,Dinajpur,balapara_area, dinajpur_rangpur_highway,Saturday,March,31,5,Morning,0,1,1,1,25.440387,89.300768,bus,2018
248,Dhaka,hatirjheel,,Tuesday,May,1,15,Afternoon,0,2,2,1,23.758655,90.409219,cycle,2018
249,Jhenaidah,maidia,dhaka_khulna_highway,Wednesday,May,2,14,Afternoon,5,4,9,1,23.123501,89.246629,truck,2018
250,Rajbari,kalukhali,satmazbari,Tuesday,May,1,14,Afternoon,0,2,2,2,23.759464,89.502168,truck_cycle,2018
251,Mymensingh,seedstore,dhaka_mymensingh_highway,Wednesday,May,2,7,Morning,2,4,6,2,24.331528,90.377089,bus_truck,2018
252,Chittagong,bhatiari,dhaka_chittagong_highway,Wednesday,May,2,7,Morning,0,1,1,1,22.438618,91.73807,van,2018
253,Tangail,basail,,Wednesday,May,2,10,Morning,0,1,1,1,24.22994,90.051885,truck,2018
254,Bogra,sonatala,tinmatha_railgate,Thursday,May,3,11,Morning,0,1,1,1,24.841874,89.347142,others,2018
255,Bogra,dhunat,,Thursday,May,3,11,Morning,2,1,3,2,24.677825,89.543329,cycle_van,2018
256,Bogra,,bogra_rangpur_highway,Thursday,May,3,8,Morning,1,1,2,2,24.895285,89.359228,truck_rickshaw,2018
257,Rajshahi,charghat,sishutala,Thursday,May,3,10,Morning,1,1,2,1,24.277768,88.752369,truck,2018
258,Dhaka,paltan,,Friday,May,4,20,Night,0,1,1,1,23.736094,90.414357,van,2018
259,Dhaka,jatrabari,mridhabari,Friday,May,4,23,Night,13,0,13,1,23.713026,90.452375,car,2018
260,Dinajpur,kaharot,kaharot_pirganj_road,Friday,May,4,21,Night,0,1,1,1,25.794623,88.597081,bus,2018
261,Brahmanbaria,kasba,shahpur,Saturday,May,5,18,Evening,1,3,4,2,23.755376,91.115189,truck_cycle,2018
262,Gopalganj,pathalia,dhaka-khulna_highway,Monday,May,7,19,Evening,1,3,4,1,23.043472,89.789169,truck,2018
263,Sirajganj,raMarchar,dhaka_rajshahi_highway,Monday,May,7,20,Night,3,2,5,2,24.350993,89.315775,bus_three_wheeler,2018
264,Bagerhat,,khulna_mawa_highway,Monday,May,7,18,Evening,20,1,21,1,22.820367,89.744494,bus,2018
265,Rangpur,kaunia,,Tuesday,May,8,13,Afternoon,0,1,1,2,25.776616,89.428429,truck_cycle,2018
266,Rangpur,,gaibandha_shaghata_road,Tuesday,May,8,15,Afternoon,0,1,1,2,25.175802,89.584205,cycle_three_wheeler,2018
